"Check for Updates","Check for Updates"
"Extension Name","Extension Name"
"Installed Version","Installed Version"
"Available Version","Available Version"
"Status","Status"
"Disabled by dependency","Disabled by dependency"
"Disabled (default)","Disabled (default)"
"Enabled (default)","Enabled (default)"
"Enabled in this store","Enabled in this store"
"Disabled in this store","Disabled in this store"
"Enabled","Enabled"
"Disabled","Disabled"
"Installed MANAdev Extensions","Installed MANAdev Extensions"
"New extension versions are available, please check the table below","New extension versions are available, please check the table below"
"All extensions are up-to-date","All extensions are up-to-date"
"MANAdev version server is not available, please try again later.","MANAdev version server is not available, please try again later."
"Confirm","Confirm"
"Yes","Yes"
"No","No"
"General","General"
"Installed MANAdev Extensions","Installed MANAdev Extensions"
"Developer","Developer"
"Show More Internal Information","Show More Internal Information"
"Display SELECT Statement of Product List Block in Hidden DIV","Display SELECT Statement of Product List Block in Hidden DIV"
"Collect and Display Performance Metrics","Collect and Display Performance Metrics"
"MANAdev Developer Configuration","MANAdev Developer Configuration"
"",""
"",""
"",""
"",""
"",""
"",""
